date,museum,daily_visitors
2018-07-27 01:00:00,Bristol Museum,1444.0
2018-09-14 00:00:00,Blaise Castle House Museum,79.0
2018-07-26 01:00:00,Blaise Castle House Museum,710.0
2018-09-14 00:00:00,M Shed,1292.0
2018-10-11 00:00:00,M Shed,904.0
2018-08-16 01:00:00,Bristol Museum,1842.0
2018-07-26 01:00:00,M Shed,3685.0
2018-09-14 00:00:00,Bristol Museum,735.0
2018-10-11 00:00:00,Bristol Museum,853.0
2018-08-15 01:00:00,Blaise Castle House Museum,770.0
2018-07-26 01:00:00,Bristol Museum,1374.0
2018-09-13 00:00:00,Bristol Museum,596.0
2018-10-11 00:00:00,Blaise Castle House Museum,41.0
2018-08-15 01:00:00,ROMAN-VILLA,4.0
2018-07-25 01:00:00,Blaise Castle House Museum,834.0
2018-09-13 00:00:00,M Shed,1161.0
2018-10-11 00:00:00,ROMAN-VILLA,2.0
2018-08-15 00:00:00,Bristol Museum,2058.0
2018-07-25 01:00:00,M Shed,3667.0
2018-09-12 00:00:00,Bristol Museum,689.0
2018-10-10 00:00:00,M Shed,1513.0
2018-08-15 00:00:00,M Shed,3903.0
2018-07-25 01:00:00,Bristol Museum,1413.0
2018-09-12 00:00:00,M Shed,1356.0
2018-10-10 00:00:00,Bristol Museum,628.0
2018-08-14 01:00:00,The Red Lodge Museum,70.0
2018-07-24 01:00:00,M Shed,2827.0
2018-09-11 00:00:00,The Red Lodge Museum,50.0
2018-10-09 00:00:00,The Red Lodge Museum,94.0
2018-08-14 01:00:00,The Georgian House Museum,108.0
2018-07-24 01:00:00,Bristol Museum,1303.0
2018-09-11 00:00:00,The Georgian House Museum,70.0
2018-10-09 00:00:00,The Georgian House Museum,99.0
2018-10-09 00:00:00,M Shed,1038.0
2018-10-09 00:00:00,Bristol Museum,703.0
2018-10-08 00:00:00,The Georgian House Museum,47.0
2018-10-08 00:00:00,The Red Lodge Museum,98.0
2018-10-08 00:00:00,Bristol Museum,0.0
2018-10-08 00:00:00,M Shed,0.0
2018-10-07 00:00:00,The Georgian House Museum,86.0
2018-10-07 00:00:00,The Red Lodge Museum,63.0
2018-10-07 00:00:00,Blaise Castle House Museum,303.0
2018-10-07 00:00:00,M Shed,2627.0
2018-10-07 00:00:00,Bristol Museum,1263.0
2018-10-06 00:00:00,Blaise Castle House Museum,87.0
2018-10-06 00:00:00,The Georgian House Museum,145.0
2018-10-06 00:00:00,M Shed,2980.0
2018-10-06 00:00:00,Bristol Museum,2666.0
2018-10-06 00:00:00,The Red Lodge Museum,92.0
2018-10-05 00:00:00,Blaise Castle House Museum,265.0
2018-10-05 00:00:00,M Shed,1123.0
2018-10-05 00:00:00,Bristol Museum,858.0
2018-10-04 00:00:00,Blaise Castle House Museum,308.0
2018-10-04 00:00:00,Bristol Museum,760.0
2018-10-04 00:00:00,M Shed,997.0
2018-10-03 00:00:00,Bristol Museum,775.0
2018-10-03 00:00:00,M Shed,965.0
2018-10-03 00:00:00,The Red Lodge Museum,72.0
2018-10-02 00:00:00,The Georgian House Museum,38.0
2018-10-02 00:00:00,The Red Lodge Museum,100.0
2018-10-02 00:00:00,M Shed,1010.0
2018-10-02 00:00:00,Bristol Museum,814.0
2018-10-01 00:00:00,The Georgian House Museum,44.0
2018-10-01 00:00:00,The Red Lodge Museum,68.0
2018-10-01 00:00:00,Bristol Museum,0.0
2018-10-01 00:00:00,M Shed,0.0
2018-09-30 00:00:00,The Georgian House Museum,80.0
2018-09-30 00:00:00,Blaise Castle House Museum,264.0
2018-09-30 00:00:00,The Red Lodge Museum,50.0
2018-09-30 00:00:00,M Shed,3553.0
2018-09-30 00:00:00,Bristol Museum,1396.0
2018-09-29 00:00:00,The Georgian House Museum,68.0
2018-09-29 00:00:00,The Red Lodge Museum,94.0
2018-09-29 00:00:00,M Shed,3349.0
2018-09-11 00:00:00,M Shed,1168.0
2018-09-11 00:00:00,Bristol Museum,687.0
2018-09-10 00:00:00,The Red Lodge Museum,36.0
2018-09-10 00:00:00,The Georgian House Museum,42.0
2018-09-10 00:00:00,M Shed,0.0
2018-07-24 01:00:00,The Red Lodge Museum,91.0
2018-09-10 00:00:00,Bristol Museum,0.0
2018-07-23 01:00:00,The Georgian House Museum,57.0
2018-09-09 00:00:00,The Georgian House Museum,68.0
2018-07-23 01:00:00,The Red Lodge Museum,78.0
2018-09-09 00:00:00,The Red Lodge Museum,38.0
2018-08-14 01:00:00,Blaise Castle House Museum,784.0
2018-07-23 01:00:00,M Shed,2618.0
2018-09-09 00:00:00,M Shed,2383.0
2018-08-14 01:00:00,M Shed,3020.0
2018-07-23 01:00:00,Bristol Museum,1318.0
2018-09-09 00:00:00,Bristol Museum,848.0
2018-08-14 01:00:00,Bristol Museum,2020.0
2018-07-22 01:00:00,The Georgian House Museum,97.0
2018-09-09 00:00:00,Blaise Castle House Museum,306.0
2018-08-13 01:00:00,The Georgian House Museum,104.0
2018-07-22 01:00:00,The Red Lodge Museum,94.0
2018-09-08 00:00:00,The Georgian House Museum,127.0
2018-08-13 01:00:00,M Shed,4120.0
2018-07-22 01:00:00,M Shed,7065.0
2018-09-08 00:00:00,The Red Lodge Museum,167.0
2018-08-13 01:00:00,Bristol Museum,1787.0
2018-07-22 01:00:00,Bristol Museum,1483.0
2018-09-29 00:00:00,Bristol Museum,1447.0
2018-09-08 00:00:00,Blaise Castle House Museum,182.0
2018-08-13 01:00:00,The Red Lodge Museum,85.0
2018-07-22 01:00:00,Blaise Castle House Museum,495.0
2018-09-29 00:00:00,Blaise Castle House Museum,317.0
2018-09-08 00:00:00,ROMAN-VILLA,1.0
2018-08-12 01:00:00,The Georgian House Museum,200.0
2018-07-21 01:00:00,The Georgian House Museum,69.0
